pn:2 mean:0.6484848484848484 std:0.06597436683962804
pn:3 mean:0.7363636363636363 std:0.039042723414318525
pn:4 mean:0.8121212121212121 std:0.03784847271756607
pn:5 mean:0.806060606060606 std:0.0222680885707562
pn:6 mean:0.8454545454545455 std:0.01766955119650093
pn:7 mean:0.8484848484848484 std:0.021427478217774177
pn:8 mean:0.8606060606060606 std:0.02424242424242426
pn:9 mean:0.8696969696969697 std:0.020552515100379583
pn:10 mean:0.8666666666666666 std:0.03507829364481886
pn:11 mean:0.8636363636363636 std:0.03951031760728877
pn:12 mean:0.8696969696969697 std:0.046552398471930975
pn:13 mean:0.8757575757575757 std:0.04328138441541124
pn:14 mean:0.8787878787878789 std:0.034550770457549645
pn:15 mean:0.8848484848484848 std:0.03533910239300182
pn:16 mean:0.8818181818181818 std:0.038806813560199084
pn:17 mean:0.8848484848484848 std:0.03533910239300182
pn:18 mean:0.8848484848484848 std:0.03533910239300182
pn:19 mean:0.8818181818181818 std:0.04535342286998719
pn:20 mean:0.8818181818181818 std:0.038806813560199084
pn:21 mean:0.8818181818181818 std:0.038806813560199084
pn:22 mean:0.8818181818181818 std:0.038806813560199084
pn:23 mean:0.8818181818181818 std:0.038806813560199084
pn:24 mean:0.8818181818181818 std:0.038806813560199084
pn:25 mean:0.8878787878787879 std:0.03263736246748185
pn:26 mean:0.8878787878787879 std:0.03263736246748185
pn:27 mean:0.8878787878787879 std:0.03263736246748185
pn:28 mean:0.8878787878787879 std:0.03263736246748185
pn:29 mean:0.8878787878787879 std:0.03263736246748185
